SH000026,SH000078,SH000417
11.45,3.3,4.74
11.52,3.32,4.7
11.55,3.37,4.71
11.62,3.39,4.63
11.75,3.36,4.66
12.03,3.35,4.65
12.42,3.33,4.69
12.37,3.34,4.8
12.67,3.33,4.87
12.24,3.28,4.79
12.35,3.28,4.89
12.18,3.26,4.88
12.18,3.27,4.89
12.09,3.25,4.89
12.16,3.24,4.89
12.26,3.27,4.93
11.95,3.25,4.93
12.2,3.25,4.87
11.98,3.22,4.77
11.86,3.2,4.69
11.6,3.19,4.62
11.35,3.13,4.5
11.8,3.17,4.62
11.74,3.16,4.59
11.94,3.18,4.62
12.06,3.22,4.68
12.14,3.22,4.74
12.14,3.18,4.73
12.07,3.18,4.7
12.08,3.16,4.72
11.97,3.16,4.76
11.94,3.16,4.77
12.19,3.17,4.85
11.95,3.11,4.78
12.11,3.12,5.03
12.16,3.12,5.2
12.14,3.1,5.23
12.06,3.11,5.37
12.22,3.11,5.45
12.05,3.1,5.54
11.97,3.14,5.55
11.98,3.15,5.53
12.21,3.18,5.6
12.14,3.19,5.63
12.09,3.18,5.62
12.19,3.21,5.68
12.37,3.21,5.9
12.34,3.22,5.84
12.26,3.2,5.82
12.18,3.25,5.83
12.05,3.23,5.79
11.76,3.19,5.8
11.85,3.21,5.74
11.58,3.24,5.67
11.58,3.21,5.66
11.34,3.22,5.58
11.3,3.25,5.69
11.38,3.28,5.85
11.29,3.26,5.74
11.5,3.25,5.76
11.28,3.15,5.66
11.24,3.12,5.64
11.22,3.09,5.65
11.3,3.07,5.59
11.19,3.01,5.56
10.97,3,5.51
11.26,3.06,5.59
11.51,3.04,5.59
11.6,3,5.46
11.51,3.03,5.42
11.63,3.03,5.62
11.97,3.06,5.72
11.85,3.05,5.62
11.92,3.05,5.51
11.79,3.01,5.48
11.75,3.01,5.47
11.81,3.05,5.54
11.76,3.08,5.45
11.65,3.04,5.45
11.6,3.04,5.4
11.65,3.08,5.48
11.75,3.06,5.58
11.6,3.07,5.54
11.53,3.06,5.45
11.47,3.04,5.36
11.63,3.05,5.45
11.56,3.07,5.41
11.5,3.03,5.39
11.45,3.06,5.39
11.66,3.05,5.44
11.3,3.06,5.23
11.18,3,5.26
11.23,3.02,5.21
11.27,3.07,5.23
11.04,3.09,5.11
11.08,3.08,5.12
11.07,3.06,5.17
10.85,3.01,5.06
10.75,2.95,5.07
10.69,2.92,5.03
10.15,2.85,4.94
10.19,2.9,5.09
10.24,2.93,4.74
10.28,2.96,4.63
10.48,3.01,4.71
10.59,3.07,4.72
10.64,3.08,4.73
10.65,3.11,4.78
10.55,3.09,4.75
10.66,3.06,4.78
10.8,3.08,4.86
11.88,3.07,4.85
11.93,3.08,4.85
11.7,3.07,4.81
12.19,3.09,4.79
12.31,3.08,4.82
12.34,3.08,4.8
12.27,3.09,4.81
11.94,3.06,4.81
12.11,3.1,4.83
12.32,3.12,4.91
12.25,3.13,5.12
12.16,3.15,5.19
12.2,3.2,5.06
12.11,3.25,5.05
12.03,3.17,4.96
12.01,3.18,4.99
11.87,3.12,4.93
11.74,3.16,4.95
11.89,3.17,5.01
11.84,3.17,5.02
11.67,3.14,4.99
11.8,3.15,5.06
11.8,3.11,5.1
11.53,3.07,5
11.63,3.11,5.07
11.85,3.1,5.23
11.64,3.14,5.26
11.69,3.13,5.4
11.59,3.04,5.38
11.44,3.03,5.13
11.46,3,5.02
11.3,2.96,4.94
11.43,2.99,5.04
11.25,2.95,4.95
11.12,3.25,4.82
10.96,3.21,4.8
10.95,3.14,4.95
10.94,3.12,4.98
10.96,3.14,4.99
11.03,3.16,5.03
10.97,3.19,5.1
11,3.51,5.1
10.82,3.29,5.06
10.56,3.28,4.99
10.72,3.23,5.06
10.71,3.22,5.11
10.88,3.28,5.18
10.78,3.22,5.08
10.78,3.18,5.21
10.68,3.1,5.13
10.47,3.03,4.9
10.23,3,4.82
10.51,2.98,4.79
9.81,2.82,4.5
9.8,2.85,4.53
10.13,2.9,4.75
10.7,2.96,4.92
10.55,2.95,4.92
10.36,2.89,4.8
10.08,2.81,4.69
9.51,2.53,4.51
9.18,2.47,4.39
8.86,2.35,4.45
8.17,2.14,4.05
8.54,2.27,4.19
8.3,2.24,4.13
8.99,2.37,4.35
9.27,2.44,4.61
9.23,2.47,4.6
9.27,2.49,4.61
9.47,2.51,4.64
9.56,2.55,4.67
9.59,2.59,4.63
9.82,2.63,4.7
9.32,2.51,4.49
9.62,2.56,4.54
9.65,2.53,4.52
9.68,2.53,4.48
9.55,2.47,4.38
9.64,2.46,4.4
9.66,2.43,4.42
9.73,2.43,4.45
9.8,2.47,4.52
9.98,2.54,4.56
9.99,2.5,4.54
10.17,2.49,4.59
10.23,2.53,4.64
10.37,2.59,4.65
10.55,2.56,4.63
10.8,2.6,4.66
10.87,2.6,4.67
10.86,2.54,4.59
10.46,2.45,4.51
10.6,2.43,4.51
10.35,2.39,4.41
10.46,2.42,4.5
10.63,2.43,4.57
10.87,2.5,4.62
10.89,2.51,4.64
10.95,2.53,4.71
10.71,2.43,4.69
10.87,2.49,4.83
10.76,2.42,4.85
10.76,2.41,4.85
10.84,2.34,4.93
10.63,2.24,4.66
10.03,2.11,4.39
10.66,2.2,4.58
10.69,2.16,4.55
